order_id,order_dates,product_name,category,region,quantity,sales,profit,country,customer_name,state,sub_category,discount,segment
985355,2023-01-09,Tablet,Electronics,West,3,2130.00,510.69,India,John Smith,Delhi,Phones,0.30,Consumer
412479,2023-09-10,Keyboard,Accessories,South,2,1030.00,254.65,Canada,Olivia Smith,Maharashtra,Chairs,0.05,Consumer
338006,2023-12-18,Laptop,Electronics,East,9,5139.00,1315.93,Australia,Michael Smith,Ontario,Paper,0.10,Home Office
919501,2022-04-15,Smartwatch,Electronics,South,6,6624.00,1136.09,Uk,Amit Thomas,Punjab,Paper,0.05,Corporate
333025,2023-08-05,Printer,Office,West,6,3006.00,730.14,Uk,Amit Sharma,Delhi,Paper,0.00,Corporate
584433,2022-07-25,Camera,Electronics,West,6,2706.00,766.68,Uk,Sophia Patel,California,Paper,0.10,Home Office
526036,2022-03-25,Camera,Electronics,West,9,3699.00,276.07,Usa,Emma Smith,Delhi,Binders,0.10,Consumer
386946,2024-12-07,Laptop,Electronics,East,6,5508.00,360.28,Uk,Priya Johnson,Texas,Tables,0.00,Corporate
756397,2024-04-11,Monitor,Accessories,South,4,1064.00,274.47,Uk,David Patel,London,Accessories,0.10,Consumer
347369,2024-06-18,Camera,Electronics,South,7,2667.00,363.50,Canada,Emma Taylor,Florida,Phones,0.00,Consumer
263921,2022-01-14,Printer,Office,West,3,2817.00,588.47,Uk,Priya Smith,Texas,Binders,0.20,Consumer
954734,2024-11-20,Monitor,Accessories,South,4,964.00,184.03,Canada,John Sharma,Ontario,Chairs,0.30,Corporate
207559,2024-02-09,Headphones,Accessories,West,5,5320.00,882.84,Canada,Priya Johnson,London,Paper,0.30,Consumer
530653,2022-01-27,Printer,Office,North,2,1268.00,141.76,Uk,Priya Sharma,Delhi,Chairs,0.00,Consumer
603135,2024-02-27,Monitor,Accessories,East,2,2248.00,473.21,Usa,John Patel,California,Accessories,0.15,Consumer
813186,2023-12-19,Camera,Electronics,West,3,1959.00,274.27,India,Rahul Sharma,Delhi,Paper,0.20,Consumer
160343,2022-08-02,Mouse,Accessories,South,6,3384.00,924.03,Australia,David Brown,New South Wales,Binders,0.30,Corporate
594350,2023-11-25,Smartphone,Electronics,North,1,307.00,50.20,Canada,Rahul Patel,Ontario,Tables,0.10,Corporate
